temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
28.7552604675,27.1124992371,50.3336486816,1020.88842773,331.799632776,74.128398232,171.873118085,-12.8807458878,6.01310014725,3.87505507469,0.474709123373,0.849774003029,0.243696838617,-0.00695918872952,0.00721579883248,-0.00340564316139,2017-05-12 18:33:29.296333
28.7376251221,27.125,50.4748382568,1020.89208984,331.817037805,74.0855251346,171.884975294,-26.1534004211,12.0757627487,8.47048473358,0.474466651678,0.850502371788,0.245890125632,-0.00854051113129,0.00732320826501,-0.00290203373879,2017-05-12 18:33:29.361780
28.7376251221,27.1520843506,49.7748794556,1020.87304688,333.176648431,70.6030985447,173.871822682,-31.4529647827,14.6261444092,9.86385536194,0.474709123373,0.850016832352,0.243940547109,-0.00800060480833,0.006232554093,-0.00301218917593,2017-05-12 18:33:34.521140
28.6670799255,27.1729164124,50.1413803101,1020.91113281,334.402295142,67.8926335952,175.521408989,-33.7517814636,15.8271827698,10.4657592773,0.474709123373,0.851230740547,0.243696838617,-0.00571884959936,0.00519328657538,-0.00161825167015,2017-05-12 18:33:39.602493
28.7376251221,27.2083320618,50.3005981445,1020.87207031,336.160910051,65.6669276617,177.370832971,-34.6301231384,16.434551239,11.1811523438,0.474709123373,0.850259542465,0.243453159928,-0.0070558488369,0.00737689528614,-0.00295436801389,2017-05-12 18:33:44.713197
28.8258056641,27.21875,50.0482559204,1020.87475586,337.125484734,64.0485826398,178.773193751,-34.8105583191,16.5136795044,11.1743116379,0.475436449051,0.850987970829,0.244184240699,-0.00541576370597,0.00539696775377,-0.000993482768536,2017-05-12 18:33:49.867798
28.8258056641,27.25,49.8710098267,1020.88256836,338.01717276,62.4482488267,179.677128307,-35.0318984985,16.2797031403,10.2343511581,0.474709123373,0.850502371788,0.240772485733,-0.00260856747627,0.00438270159066,-0.00146435759962,2017-05-12 18:33:54.972005
28.9139862061,27.2708320618,50.0782928467,1020.88842773,338.885161738,61.1150163913,180.250089198,-34.7681427002,16.6213321686,10.6220827103,0.477133572102,0.850502371788,0.244427934289,-0.00437101721764,0.00464108027518,-0.00286515057087,2017-05-12 18:34:00.075426
28.861076355,27.3020820618,49.6396942139,1020.86889648,339.49166546,60.1155821308,181.415510715,-34.9294586182,16.864364624,10.4901123047,0.475193977356,0.850502371788,0.241747274995,-0.00459988415241,0.00605974998325,-0.00302205048501,2017-05-12 18:34:05.186172
28.949256897,27.3229179382,49.5405578613,1020.88769531,339.433670324,61.2475357216,180.840408787,-34.8381004333,16.575050354,11.1812391281,0.473496854305,0.850745201111,0.238579213619,-0.0126430392265,0.00903334096074,-0.00228265160695,2017-05-12 18:34:10.287980
