temp_h,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
29.8487014771,40.0204658508,1015.0065918,345.26148996,75.6656210972,173.308632604,-16.2462158203,5.4444270134,3.48284006119,0.251173973083,0.941792368889,0.235411152244,['x'],['y'],['z'],2017-05-12 17:32:10.153303
29.7428836823,38.8308296204,1015.01611328,345.28099698,75.6543171341,173.308045207,-33.5685310364,11.273850441,7.31625556946,0.252143740654,0.937907755375,0.240528792143,['x'],['y'],['z'],2017-05-12 17:32:10.215119
29.883972168,40.3178749084,1015.02050781,345.289227358,75.6705046824,173.268484752,-40.5404243469,13.7295026779,9.43146038055,0.250931531191,0.941306829453,0.239554002881,['x'],['y'],['z'],2017-05-12 17:32:10.272721
29.8487014771,39.9063110352,1015.02539062,345.304894104,75.7298726867,173.183913349,-43.2498130798,14.1705007553,9.95781135559,0.254325777292,0.94106400013,0.23297418654,['x'],['y'],['z'],2017-05-12 17:32:10.340767
29.8487014771,39.9063110352,1015.01660156,345.310778312,75.8010637484,173.104246023,-44.4186515808,14.6340026855,10.0972909927,0.250931531191,0.941306829453,0.234680071473,['x'],['y'],['z'],2017-05-12 17:32:10.400589
29.9897899628,38.4162597656,1015.01513672,345.330186295,75.668722003,173.08752572,-44.9633827209,14.9126214981,10.4914178848,0.250931531191,0.939364492893,0.242234662175,['x'],['y'],['z'],2017-05-12 17:32:10.468988
29.8663368225,39.9663925171,1015.01660156,345.34732324,75.5498698813,173.039126999,-45.0723876953,14.5367288589,10.8429393768,0.253355979919,0.938150465488,0.241259887815,['x'],['y'],['z'],2017-05-12 17:32:10.531083
29.795791626,40.128616333,1015.01660156,345.350625636,75.5826821101,172.944979672,-45.4679718018,15.1182184219,11.1320562363,0.251901298761,0.938878893852,0.241016179323,['x'],['y'],['z'],2017-05-12 17:32:10.589143
29.97215271,40.6903877258,1015.01660156,345.357901495,75.6203984147,172.816148644,-45.5968360901,14.7513504028,11.6083898544,0.251658856869,0.93912166357,0.235167458653,['x'],['y'],['z'],2017-05-12 17:32:10.650042
29.97215271,40.6903877258,1015.01660156,345.36428943,75.6085412063,172.684776785,-45.4817695618,14.6925172806,11.4678697586,0.251658856869,0.936208128929,0.245159029961,['x'],['y'],['z'],2017-05-12 17:32:10.711015
29.8310642242,40.2247467041,1015.01367188,345.36783942,75.5875247142,172.589208778,-45.4617195129,14.7664861679,11.2441835403,0.252871066332,0.938878893852,0.239554002881,['x'],['y'],['z'],2017-05-12 17:32:10.768371
