temp_h,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
0,0,1015.46142578,50.4258966987,78.8339477776,140.236173624,-17.7515010834,0.693971216679,8.24044704437,0,0,0,['x'],['y'],['z'],2017-05-12 16:51:42.000628
0,0,1015.45825195,46.5807734036,76.8254623503,140.767726265,-97.5693588257,85.5182647705,16.2064857483,0.164135888219,0.654325962067,0.719636797905,['x'],['y'],['z'],2017-05-12 16:51:42.086481
0,0,1015.45825195,46.5807734036,76.8254623503,140.767726265,-97.5693588257,85.5182647705,16.2064857483,0.164135888219,0.654325962067,0.719636797905,['x'],['y'],['z'],2017-05-12 16:51:42.086481
0,0,1015.46362305,40.1072806177,77.5652537997,145.973136375,-98.6387329102,79.5011367798,20.5950088501,0.163651004434,0.653597652912,0.71914935112,['x'],['y'],['z'],2017-05-12 16:51:42.171080
0,0,1015.46362305,40.1072806177,77.5652537997,145.973136375,-98.6387329102,79.5011367798,20.5950088501,0.163651004434,0.653597652912,0.71914935112,['x'],['y'],['z'],2017-05-12 16:51:42.171080
0,0,1015.4609375,35.549297309,75.6212316977,149.693799963,-75.7648544312,61.1300964355,22.1563625336,0.163651004434,0.653597652912,0.71914935112,['x'],['y'],['z'],2017-05-12 16:51:42.245015
0,0,1015.4609375,35.549297309,75.6212316977,149.693799963,-75.7648544312,61.1300964355,22.1563625336,0.163651004434,0.653597652912,0.71914935112,['x'],['y'],['z'],2017-05-12 16:51:42.245015
0,0,1015.46142578,33.6658009284,78.2481839242,151.309303627,-92.8264541626,79.750793457,22.9353256226,0.165105670691,0.654325962067,0.717930912971,['x'],['y'],['z'],2017-05-12 16:51:42.326479
0,0,1015.46801758,30.3701834275,77.0413919507,153.716672102,-92.8264541626,79.750793457,22.9353256226,0.163893431425,0.654568791389,0.71914935112,['x'],['y'],['z'],2017-05-12 16:51:42.400020
0,0,1015.46801758,30.3701834275,77.0413919507,153.716672102,-92.8264541626,79.750793457,22.9353256226,0.163893431425,0.654568791389,0.71914935112,['x'],['y'],['z'],2017-05-12 16:51:42.400020
0,0,1015.46948242,27.1256523264,75.3104102792,155.28506112,-117.272254944,60.7330627441,68.8435974121,0.16340854764,0.654083192348,0.720124185085,['x'],['y'],['z'],2017-05-12 16:51:42.489442
0,0,1015.46948242,27.1256523264,75.3104102792,155.28506112,-117.272254944,60.7330627441,68.8435974121,0.16340854764,0.654083192348,0.720124185085,['x'],['y'],['z'],2017-05-12 16:51:42.489442
0,0,1015.46826172,23.9430044468,93.7090616012,167.018984605,-36.6136016846,76.9792175293,107.987113953,0.164135888219,0.653840363026,0.720855295658,['x'],['y'],['z'],2017-05-12 16:51:42.579308
0,0,1015.46826172,23.9430044468,93.7090616012,167.018984605,-36.6136016846,76.9792175293,107.987113953,0.164135888219,0.653840363026,0.720855295658,['x'],['y'],['z'],2017-05-12 16:51:42.579308
30.0779705048,40.0174636841,1015.46557617,20.8682001315,89.4360952564,166.158708618,-69.7309494019,39.897983551,59.0525779724,-0.337177485228,0.655054330826,0.716225028038,['x'],['y'],['z'],2017-05-12 16:51:42.666534
30.0779705048,40.0174636841,1015.46557617,20.8682001315,89.4360952564,166.158708618,-69.7309494019,39.897983551,59.0525779724,-0.337177485228,0.655054330826,0.716225028038,['x'],['y'],['z'],2017-05-12 16:51:42.666534
30.1661510468,39.8342094421,1015.46557617,17.7186820845,85.7784469936,166.237064548,-136.737503052,-5.65862894058,61.6960716248,0.163651004434,0.654083192348,0.718418359756,['x'],['y'],['z'],2017-05-12 16:51:42.741732
30.1661510468,39.1943283081,1015.46557617,18.0107546337,87.2673052893,165.096942051,-133.733764648,-35.3663673401,57.9630966187,0.161711424589,0.652383625507,0.720124185085,['x'],['y'],['z'],2017-05-12 16:51:42.833453
30.1661510468,39.1943283081,1015.46557617,18.0107546337,87.2673052893,165.096942051,-133.733764648,-35.3663673401,57.9630966187,0.161711424589,0.652383625507,0.720124185085,['x'],['y'],['z'],2017-05-12 16:51:42.833453
30.0956077576,37.3588066101,1015.46557617,8.44673187579,93.4635299609,153.483462123,-167.385696411,165.862716675,38.0282325745,-7.83481025696,-6.97552919388,0.688930988312,['x'],['y'],['z'],2017-05-12 16:51:42.926060
30.0956077576,37.3588066101,1015.46557617,8.44673187579,93.4635299609,153.483462123,-167.385696411,165.862716675,38.0282325745,-7.83481025696,-6.97552919388,0.688930988312,['x'],['y'],['z'],2017-05-12 16:51:42.926060
30.0956077576,37.3588066101,1015.46557617,8.44673187579,93.4635299609,153.483462123,-167.385696411,165.862716675,38.0282325745,-7.83481025696,-6.97552919388,0.688930988312,['x'],['y'],['z'],2017-05-12 16:51:42.926060
30.0956077576,37.3588066101,1015.46557617,7.43658531736,98.2271566051,143.860545205,-112.508102417,82.351852417,30.0343875885,0.163893431425,0.653597652912,0.722561120987,['x'],['y'],['z'],2017-05-12 16:51:43.063630
30.0956077576,37.3588066101,1015.46557617,7.43658531736,98.2271566051,143.860545205,-112.508102417,82.351852417,30.0343875885,0.163893431425,0.653597652912,0.722561120987,['x'],['y'],['z'],2017-05-12 16:51:43.063630
30.060333252,42.0422439575,1015.48364258,6.62792720501,111.706241234,132.090667604,-75.2593994141,35.5068130493,25.987865448,0.0164863225073,0.654083192348,0.716956138611,['x'],['y'],['z'],2017-05-12 16:51:43.195203
