temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
30.3425121307,28.9187507629,37.9265861511,1014.99926758,345.452849662,76.3491181274,170.625898222,-16.1912117004,5.28920459747,4.2087059021,0.250689089298,0.943734705448,0.230293527246,-0.0113254897296,0.00358895212412,-0.00030449219048,2017-05-12 17:37:23.185419
30.4130573273,28.9145832062,39.6779937744,1015.00390625,345.440789256,76.2959382745,170.637427582,-33.320022583,10.6804628372,8.60810947418,0.248264625669,0.941792368889,0.232243090868,0.00432073324919,0.000345572829247,-0.000604765489697,2017-05-12 17:37:23.244150
30.4130573273,28.9249992371,39.6779937744,1014.99804688,345.443729652,76.2709124614,170.675581018,-40.2203903198,13.0472354889,9.51048564911,0.251416414976,0.93912166357,0.235167458653,-0.0072387829423,0.00181390345097,0.000325681641698,2017-05-12 17:37:23.297228
30.4306945801,28.9208335876,38.1368751526,1014.9987793,345.437949605,76.2389198553,170.799248423,-43.2309494019,14.1573476791,9.66199588776,0.249719306827,0.943734705448,0.231268316507,0.0110544338822,-0.00298505090177,0.00033394061029,2017-05-12 17:37:23.354891
30.3425121307,28.9270820618,39.2934646606,1014.99902344,345.442201397,76.2621151778,170.90706979,-44.199256897,14.7329206467,10.5575408936,0.255537986755,0.939364492893,0.234923765063,0.0128321200609,-0.00113074108958,-0.000829845666885,2017-05-12 17:37:23.409023
30.377784729,28.9333343506,39.72605896,1015.0,345.433778067,76.2823940094,170.975016511,-44.5198898315,14.8415575027,10.7229137421,0.250931531191,0.943006336689,0.230537220836,0.0235229991376,-0.00470699369907,-0.00137108191848,2017-05-12 17:37:23.466759
30.377784729,28.9333343506,39.72605896,1015.00073242,345.438562614,76.3593429206,171.015164363,-44.718536377,14.7478656769,11.0201063156,0.254810661077,0.941306829453,0.228831335902,0.0270899124444,-0.00589969009161,-0.00045988149941,2017-05-12 17:37:23.520167
30.4130573273,28.9187507629,38.5123901367,1014.99682617,345.42639634,76.4297963219,171.005151306,-45.0305557251,14.7003297806,11.3657064438,0.253355979919,0.946891009808,0.228831335902,0.00536818802357,-0.00145394913852,0.00103147141635,2017-05-12 17:37:23.578549
30.4836006165,28.9229164124,39.437664032,1014.9921875,345.420927066,76.4584148145,171.008265872,-45.2639007568,14.6062374115,11.5097799301,0.251901298761,0.94106400013,0.22761285305,-0.000533770769835,-0.000482894480228,0.00102845579386,2017-05-12 17:37:23.636594
30.4836006165,28.9270820618,39.437664032,1014.9934082,345.416588188,76.4631959469,170.984988588,-45.2099227905,14.5901031494,11.3641309738,0.251416414976,0.944948673248,0.222251519561,-0.010115865618,0.00098498351872,0.000730218365788,2017-05-12 17:37:23.689916
30.465965271,28.9249992371,40.3148727417,1015.00048828,345.41468598,76.4341403222,171.001954778,-45.1446380615,14.6031150818,11.0569562912,0.250446647406,0.94106400013,0.229562431574,-0.0303434282541,0.00799343921244,0.00105196237564,2017-05-12 17:37:23.748062
30.3601493835,28.9229164124,38.7707481384,1014.99926758,345.422870254,76.3328076357,171.07715516,-45.0433273315,14.981139183,10.1263751984,0.251901298761,0.941792368889,0.232243090868,-0.00778495892882,-0.000503027811646,0.000125678256154,2017-05-12 17:37:23.802523
30.3601493835,28.9249992371,38.7707481384,1015.00439453,345.423022226,76.2871478211,171.152218939,-45.2152862549,14.8831472397,10.970334053,0.250931531191,0.941306829453,0.230537220836,-0.00549271330237,0.00091141462326,0.000707607716322,2017-05-12 17:37:23.860355
30.4306945801,28.9166679382,37.9836654663,1015.0,345.426884698,76.2569378944,171.202571094,-45.2615013123,14.7421588898,10.6673412323,0.254568189383,0.94470590353,0.233948975801,-0.0145091675222,0.00348951108754,6.49150460958e-05,2017-05-12 17:37:23.918110
30.3072395325,28.9291667938,39.3235092163,1015.00024414,345.421026103,76.2044274,171.252882267,-45.3279037476,14.8290929794,10.9209318161,0.250689089298,0.941792368889,0.231024608016,-0.00950203463435,0.00233539193869,-0.000214993953705,2017-05-12 17:37:23.972620
30.4130573273,28.9187507629,39.9513702393,1015.00268555,345.424084321,76.1569439249,171.300830195,-44.8680076599,15.0132131577,10.7787122726,0.2540833354,0.940578460693,0.235167458653,-0.00121605396271,-0.0013814996928,0.00182708911598,2017-05-12 17:37:24.030635
30.4130573273,28.9229164124,39.9513702393,1015.00366211,345.414822584,76.1422043767,171.342398727,-45.044216156,15.1695795059,10.8777246475,0.249961733818,0.94227796793,0.232243090868,-0.00988749042153,0.00107031688094,-3.92142683268e-05,2017-05-12 17:37:24.098663
