temp_h,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,timestamp
29.5488853455,40.2698097229,1015.07983398,345.565289944,75.0052647478,170.208478041,-16.4497852325,5.11963939667,4.48943567276,0.249719306827,0.936936557293,0.250764042139,['x'],['y'],['z'],2017-05-12 17:28:51.009481
29.5136146545,40.5281639099,1015.07080078,345.575116879,74.959741537,170.221714948,-33.569355011,10.4720220566,8.81087684631,0.250204175711,0.936693787575,0.246133819222,['x'],['y'],['z'],2017-05-12 17:28:51.070857
29.4607048035,40.9006767273,1015.07080078,345.594886861,74.8292780937,170.302734652,-40.5819816589,12.5693511963,10.4280862808,0.249234393239,0.934751391411,0.257587552071,['x'],['y'],['z'],2017-05-12 17:28:51.131563
29.4607048035,40.9006767273,1015.06835938,345.605869805,74.7584285414,170.364862052,-43.4455947876,13.2270116806,11.4021224976,0.250931531191,0.93426579237,0.260024547577,['x'],['y'],['z'],2017-05-12 17:28:51.187756
29.5136146545,40.3118667603,1015.0690918,345.545958801,74.7519740126,170.40233247,-44.9540748596,13.6682786942,11.5902671814,0.250689089298,0.934751391411,0.255150586367,['x'],['y'],['z'],2017-05-12 17:28:51.241500
29.619430542,40.2157363892,1015.0703125,345.547140424,74.816976923,170.431401755,-45.649269104,13.6174688339,11.6815862656,0.249961733818,0.934508621693,0.258074969053,['x'],['y'],['z'],2017-05-12 17:28:51.298886
29.619430542,40.2157363892,1015.06542969,345.549087028,74.8965417966,170.458381003,-45.8679656982,13.7358264923,11.7018556595,0.249719306827,0.937664926052,0.251251459122,['x'],['y'],['z'],2017-05-12 17:28:51.359191
29.53125,39.6389389038,1015.06176758,345.550996066,75.0094516538,170.472341909,-45.7595672607,14.3349437714,11.8345127106,0.249961733818,0.937422096729,0.247596010566,['x'],['y'],['z'],2017-05-12 17:28:51.412383
29.5136146545,40.2698097229,1015.0625,345.556342396,75.0071020687,170.500810138,-45.8678665161,14.4172935486,12.0582866669,0.250204175711,0.935236990452,0.25734385848,['x'],['y'],['z'],2017-05-12 17:28:51.485443
29.5488853455,39.9183273315,1015.06176758,345.581515058,74.7692543912,170.593085993,-45.52135849,14.3199329376,11.7136306763,0.24850705266,0.934023022652,0.260511934757,['x'],['y'],['z'],2017-05-12 17:28:51.559999
29.5841598511,38.9600067139,1015.0625,345.656134875,74.8016021671,170.620994146,-45.4105606079,14.4101028442,11.4488506317,0.250446647406,0.935722589493,0.254419535398,['x'],['y'],['z'],2017-05-12 17:28:51.638237
